client_id,account_id,transaction_id,type,amount,date,description
mid-career,mid-career-roth,tx-mid-career-0005,contribution,1205.54,2026-01-16,Contribution — Roth IRA
mid-career,mid-career-roth,tx-mid-career-0008,sell,-206.45,2026-01-02,Sell — Roth IRA
mid-career,mid-career-401k,tx-mid-career-0006,sell,-2672.37,2025-12-07,Sell — Traditional 401(k)
mid-career,mid-career-brokerage,tx-mid-career-0001,sell,-2642.35,2025-11-21,Sell — Individual Brokerage
mid-career,mid-career-brokerage,tx-mid-career-0003,sell,-4391.32,2025-10-20,Sell — Individual Brokerage
mid-career,mid-career-roth,tx-mid-career-0011,rebalance,604.13,2025-10-16,Rebalance — Roth IRA
mid-career,mid-career-401k,tx-mid-career-0000,sell,-1146.61,2025-09-07,Sell — Traditional 401(k)
conservative-saver,conservative-saver-401k,tx-conservative-saver-0008,contribution,2090.71,2026-02-24,Contribution — Traditional 401(k)
conservative-saver,conservative-saver-brokerage,tx-conservative-saver-0006,buy,2841.61,2026-02-19,Buy — Individual Brokerage
conservative-saver,conservative-saver-roth,tx-conservative-saver-0004,buy,4152.56,2026-01-11,Buy — Roth IRA
conservative-saver,conservative-saver-roth,tx-conservative-saver-0005,contribution,652.36,2026-01-07,Contribution — Roth IRA
conservative-saver,conservative-saver-401k,tx-conservative-saver-0000,buy,174.73,2026-01-01,Buy — Traditional 401(k)
conservative-saver,conservative-saver-roth,tx-conservative-saver-0009,sell,-4170.3,2025-12-28,Sell — Roth IRA
conservative-saver,conservative-saver-401k,tx-conservative-saver-0007,sell,-4920.94,2025-11-25,Sell — Traditional 401(k)
conservative-saver,conservative-saver-401k,tx-conservative-saver-0002,buy,1449.87,2025-11-21,Buy — Traditional 401(k)
conservative-saver,conservative-saver-brokerage,tx-conservative-saver-0003,dividend,956.04,2025-11-19,Dividend — Individual Brokerage
conservative-saver,conservative-saver-brokerage,tx-conservative-saver-0011,buy,4414.26,2025-11-11,Buy — Individual Brokerage
conservative-saver,conservative-saver-brokerage,tx-conservative-saver-0010,dividend,562.99,2025-10-31,Dividend — Individual Brokerage
conservative-saver,conservative-saver-401k,tx-conservative-saver-0001,sell,-4783.76,2025-09-27,Sell — Traditional 401(k)
high-earner,high-earner-brokerage,tx-high-earner-0006,dividend,4225.45,2026-01-23,Dividend — Individual Brokerage
high-earner,high-earner-roth,tx-high-earner-0000,dividend,3645.18,2026-01-13,Dividend — Roth IRA
high-earner,high-earner-brokerage,tx-high-earner-0009,dividend,1458.73,2026-01-02,Dividend — Individual Brokerage
high-earner,high-earner-roth,tx-high-earner-0002,rebalance,2381.97,2025-12-16,Rebalance — Roth IRA
high-earner,high-earner-401k,tx-high-earner-0007,sell,-950.7,2025-12-14,Sell — Traditional 401(k)
high-earner,high-earner-brokerage,tx-high-earner-0008,buy,4852.59,2025-11-25,Buy — Individual Brokerage
high-earner,high-earner-roth,tx-high-earner-0010,contribution,1091.0,2025-11-04,Contribution — Roth IRA
high-earner,high-earner-401k,tx-high-earner-0011,rebalance,411.2,2025-11-02,Rebalance — Traditional 401(k)
high-earner,high-earner-roth,tx-high-earner-0005,sell,-2399.88,2025-10-30,Sell — Roth IRA
high-earner,high-earner-roth,tx-high-earner-0004,rebalance,4212.69,2025-10-26,Rebalance — Roth IRA
high-earner,high-earner-brokerage,tx-high-earner-0003,rebalance,1230.41,2025-10-16,Rebalance — Individual Brokerage
high-earner,high-earner-brokerage,tx-high-earner-0001,sell,-4486.4,2025-09-30,Sell — Individual Brokerage
canadian-professional,canadian-professional-roth,tx-canadian-professional-0008,buy,2513.62,2026-02-17,Buy — Roth IRA
canadian-professional,canadian-professional-brokerage,tx-canadian-professional-0007,contribution,4827.39,2026-02-03,Contribution — Individual Brokerage
canadian-professional,canadian-professional-brokerage,tx-canadian-professional-0006,sell,-2230.88,2026-01-22,Sell — Individual Brokerage
canadian-professional,canadian-professional-brokerage,tx-canadian-professional-0001,rebalance,3886.65,2026-01-14,Rebalance — Individual Brokerage
canadian-professional,canadian-professional-401k,tx-canadian-professional-0003,rebalance,4414.47,2025-12-24,Rebalance — Traditional 401(k)
canadian-professional,canadian-professional-roth,tx-canadian-professional-0002,contribution,2764.71,2025-12-19,Contribution — Roth IRA
canadian-professional,canadian-professional-401k,tx-canadian-professional-0000,buy,2606.25,2025-11-24,Buy — Traditional 401(k)
canadian-professional,canadian-professional-brokerage,tx-canadian-professional-0010,rebalance,2207.85,2025-11-09,Rebalance — Individual Brokerage
canadian-professional,canadian-professional-brokerage,tx-canadian-professional-0011,dividend,3783.32,2025-10-10,Dividend — Individual Brokerage
canadian-professional,canadian-professional-401k,tx-canadian-professional-0004,sell,-2700.71,2025-10-07,Sell — Traditional 401(k)
canadian-professional,canadian-professional-brokerage,tx-canadian-professional-0005,dividend,2828.5,2025-10-02,Dividend — Individual Brokerage
canadian-professional,canadian-professional-brokerage,tx-canadian-professional-0009,dividend,3556.92,2025-09-07,Dividend — Individual Brokerage
pre-retiree-ca,pre-retiree-ca-roth,tx-pre-retiree-ca-0011,contribution,701.87,2026-02-24,Contribution — Roth IRA
pre-retiree-ca,pre-retiree-ca-brokerage,tx-pre-retiree-ca-0001,rebalance,4643.96,2026-02-03,Rebalance — Individual Brokerage
pre-retiree-ca,pre-retiree-ca-brokerage,tx-pre-retiree-ca-0004,buy,1695.64,2026-01-27,Buy — Individual Brokerage
pre-retiree-ca,pre-retiree-ca-brokerage,tx-pre-retiree-ca-0010,sell,-2616.9,2026-01-17,Sell — Individual Brokerage
pre-retiree-ca,pre-retiree-ca-401k,tx-pre-retiree-ca-0005,buy,4697.69,2025-12-25,Buy — Traditional 401(k)
pre-retiree-ca,pre-retiree-ca-brokerage,tx-pre-retiree-ca-0008,rebalance,4486.43,2025-12-03,Rebalance — Individual Brokerage
pre-retiree-ca,pre-retiree-ca-roth,tx-pre-retiree-ca-0009,dividend,2077.65,2025-11-23,Dividend — Roth IRA
pre-retiree-ca,pre-retiree-ca-401k,tx-pre-retiree-ca-0002,dividend,3128.52,2025-11-14,Dividend — Traditional 401(k)
pre-retiree-ca,pre-retiree-ca-401k,tx-pre-retiree-ca-0006,dividend,867.45,2025-11-14,Dividend — Traditional 401(k)
pre-retiree-ca,pre-retiree-ca-brokerage,tx-pre-retiree-ca-0003,dividend,4629.82,2025-10-09,Dividend — Individual Brokerage
pre-retiree-ca,pre-retiree-ca-roth,tx-pre-retiree-ca-0000,dividend,719.64,2025-10-08,Dividend — Roth IRA
pre-retiree-ca,pre-retiree-ca-roth,tx-pre-retiree-ca-0007,dividend,1637.7,2025-09-08,Dividend — Roth IRA
