client_id,account_id,symbol,name,allocation_pct,value,asset_class
high-earner,high-earner-brokerage,VXUS,Vanguard Total Intl Stock ETF,15,36000.0,international
high-earner,high-earner-brokerage,ARKK,ARK Innovation ETF,10,24000.0,stocks
high-earner,high-earner-brokerage,VNQ,Vanguard Real Estate ETF,10,24000.0,real_estate
high-earner,high-earner-brokerage,BND,Vanguard Total Bond Market ETF,10,24000.0,bonds
canadian-professional,canadian-professional-401k,VTI,Vanguard Total Stock Market ETF,35,56000.0,stocks
canadian-professional,canadian-professional-401k,VXUS,Vanguard Total Intl Stock ETF,15,24000.0,international
canadian-professional,canadian-professional-401k,BND,Vanguard Total Bond Market ETF,25,40000.0,bonds
canadian-professional,canadian-professional-401k,VGT,Vanguard Information Technology ETF,15,24000.0,stocks
canadian-professional,canadian-professional-401k,VNQ,Vanguard Real Estate ETF,10,16000.0,real_estate
canadian-professional,canadian-professional-roth,VTI,Vanguard Total Stock Market ETF,35,22400.0,stocks
canadian-professional,canadian-professional-roth,VXUS,Vanguard Total Intl Stock ETF,15,9600.0,international
canadian-professional,canadian-professional-roth,BND,Vanguard Total Bond Market ETF,25,16000.0,bonds
canadian-professional,canadian-professional-roth,VGT,Vanguard Information Technology ETF,15,9600.0,stocks
canadian-professional,canadian-professional-roth,VNQ,Vanguard Real Estate ETF,10,6400.0,real_estate
canadian-professional,canadian-professional-brokerage,VTI,Vanguard Total Stock Market ETF,35,33600.0,stocks
canadian-professional,canadian-professional-brokerage,VXUS,Vanguard Total Intl Stock ETF,15,14400.0,international
canadian-professional,canadian-professional-brokerage,BND,Vanguard Total Bond Market ETF,25,24000.0,bonds
canadian-professional,canadian-professional-brokerage,VGT,Vanguard Information Technology ETF,15,14400.0,stocks
canadian-professional,canadian-professional-brokerage,VNQ,Vanguard Real Estate ETF,10,9600.0,real_estate
pre-retiree-ca,pre-retiree-ca-401k,BND,Vanguard Total Bond Market ETF,40,150000.0,bonds
pre-retiree-ca,pre-retiree-ca-401k,VTIP,Vanguard Short-Term Inflation-Protected,20,75000.0,bonds
pre-retiree-ca,pre-retiree-ca-401k,VTI,Vanguard Total Stock Market ETF,20,75000.0,stocks
pre-retiree-ca,pre-retiree-ca-401k,VIG,Vanguard Dividend Appreciation ETF,10,37500.0,stocks
pre-retiree-ca,pre-retiree-ca-401k,VXUS,Vanguard Total Intl Stock ETF,10,37500.0,international
pre-retiree-ca,pre-retiree-ca-roth,BND,Vanguard Total Bond Market ETF,40,60000.0,bonds
pre-retiree-ca,pre-retiree-ca-roth,VTIP,Vanguard Short-Term Inflation-Protected,20,30000.0,bonds
pre-retiree-ca,pre-retiree-ca-roth,VTI,Vanguard Total Stock Market ETF,20,30000.0,stocks
pre-retiree-ca,pre-retiree-ca-roth,VIG,Vanguard Dividend Appreciation ETF,10,15000.0,stocks
pre-retiree-ca,pre-retiree-ca-roth,VXUS,Vanguard Total Intl Stock ETF,10,15000.0,international
pre-retiree-ca,pre-retiree-ca-brokerage,BND,Vanguard Total Bond Market ETF,40,90000.0,bonds
pre-retiree-ca,pre-retiree-ca-brokerage,VTIP,Vanguard Short-Term Inflation-Protected,20,45000.0,bonds
pre-retiree-ca,pre-retiree-ca-brokerage,VTI,Vanguard Total Stock Market ETF,20,45000.0,stocks
pre-retiree-ca,pre-retiree-ca-brokerage,VIG,Vanguard Dividend Appreciation ETF,10,22500.0,stocks
pre-retiree-ca,pre-retiree-ca-brokerage,VXUS,Vanguard Total Intl Stock ETF,10,22500.0,international
